median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.836877495,0.83616563,0.004633891,-0.018837258,-0.018317077,0.00249001,50.87984276,50.84410415,0.617947112,0.804851592,0.805797579,0.004406182,0.38502121,0.383090838,0.013117002,-12376,-12368.80976,305.0615343,0.240189582,0.239184896,0.012941312,0.088804249,0.08923326,0.002751157,1.874435902,1.875384919,0.027116345,0.907561004,0.907571117,0.004455787,24.82205028
0.799604744,0.798712388,0.009109263,-0.017301189,-0.016528113,0.006552801,51.01143074,51.13588216,1.277931746,0.771744072,0.772340181,0.007118059,0.284706607,0.28279201,0.022915618,-13162,-13102.23524,589.192018,0.212140605,0.208220176,0.020424694,0.111355156,0.111940879,0.005655571,1.778999507,1.779860226,0.052759183,0.889163405,0.889006479,0.009509199,23.35463749
0.822764337,0.8217983,0.006791441,-0.02811382,-0.028294806,0.004128595,51.84895897,51.75120256,1.17424689,0.77632615,0.776013559,0.004717744,0.345738739,0.343285556,0.018243596,-13074,-13038.73759,489.4513424,0.264261916,0.265160971,0.016511675,0.097234562,0.097831136,0.00411117,1.852808774,1.846477268,0.042020332,0.902974248,0.901820094,0.007282899,22.91941381
0.808175534,0.808138469,0.003247428,-0.016901554,-0.017401263,0.003256478,51.8530674,51.87275166,0.725901822,0.781148016,0.780140323,0.004705617,0.306816697,0.306759539,0.008463704,-13306,-13320.07457,334.456081,0.217792548,0.218833604,0.012693084,0.106087305,0.106113534,0.00198815,1.792368293,1.794290858,0.017265308,0.892061472,0.892337441,0.003014899,33.37379221
0.816733062,0.817342377,0.005697462,-0.026062753,-0.025670845,0.003290098,53.57089233,53.5982215,0.98053633,0.775145054,0.775920261,0.006091762,0.329446077,0.331205839,0.01531799,-14048,-14061.59803,436.2973049,0.246080443,0.245253597,0.011613311,0.100877196,0.100518824,0.003447427,1.853890896,1.858778994,0.029912802,0.903259158,0.903444628,0.005089699,28.62119084
0.78162837,0.781154544,0.006628246,-0.020399488,-0.020779402,0.005660829,47.95120049,47.75705548,1.312174596,0.749270678,0.748782485,0.004699303,0.240046449,0.239036582,0.015862761,-11746,-11684.27979,548.6207033,0.222252712,0.225273888,0.018454838,0.12256857,0.122881767,0.004197553,1.682807386,1.691904047,0.041933081,0.870792001,0.872528428,0.007881668,28.87004268
0.792862952,0.792631178,0.006732453,-0.022557716,-0.022853025,0.004025488,49.96907806,49.82322704,0.871357588,0.756032526,0.756645799,0.005769649,0.267691299,0.267263326,0.016825457,-12600,-12530.96153,409.8189641,0.228357568,0.227862354,0.012424192,0.115534246,0.115693326,0.004189853,1.757672906,1.762001823,0.046335257,0.885307789,0.885577789,0.008232549,29.59434315
0.788434237,0.787893035,0.00964584,-0.026439883,-0.027023429,0.004056288,49.25439453,49.62031054,1.525300626,0.746142864,0.745690962,0.005836118,0.25668931,0.255689901,0.023822532,-12344,-12505.73099,631.7352991,0.231221467,0.234679784,0.014500969,0.118296649,0.118668923,0.006032643,1.75995034,1.767881392,0.044770431,0.884512007,0.88616865,0.008258728,18.11071616
0.784323514,0.785260566,0.00893344,-0.019466684,-0.019270518,0.003531974,49.92714691,49.9973815,1.722693408,0.755343467,0.755055335,0.006806481,0.246599421,0.249176222,0.021934601,-12714,-12740.83361,742.214081,0.211637221,0.211507885,0.012479343,0.120872982,0.120314073,0.005599514,1.744412422,1.744213102,0.037933054,0.881891102,0.881977746,0.007141214,31.01226958
0.842982799,0.842776855,0.00505688,-0.035935327,-0.035328404,0.003474523,52.64972878,52.87338317,1.260995121,0.785133958,0.784677567,0.003453694,0.402537763,0.402050809,0.014620803,-13204,-13274.51827,592.8967361,0.299354687,0.297588405,0.013193259,0.085197337,0.085326549,0.002979466,1.961829722,1.951019936,0.035545002,0.921373159,0.919569281,0.005617943,35.38738974
